timestamp,posicao,imagem,video
2026-03-10_10-05-36,"(370, 0, 270, 382)",movimentos/mov_2026-03-10_10-05-36.png,videos/mov_2026-03-10_10-05-36.mp4
2026-03-10_10-05-38,"(129, 0, 72, 247)",movimentos/mov_2026-03-10_10-05-38.png,videos/mov_2026-03-10_10-05-38.mp4
2026-03-10_10-05-47,"(290, 0, 69, 249)",movimentos/mov_2026-03-10_10-05-47.png,videos/mov_2026-03-10_10-05-47.mp4
2026-03-10_10-05-50,"(262, 0, 281, 311)",movimentos/mov_2026-03-10_10-05-50.png,videos/mov_2026-03-10_10-05-50.mp4
2026-03-10_10-05-52,"(121, 126, 118, 149)",movimentos/mov_2026-03-10_10-05-52.png,videos/mov_2026-03-10_10-05-52.mp4
2026-03-10_10-05-54,"(272, 0, 368, 417)",movimentos/mov_2026-03-10_10-05-54.png,videos/mov_2026-03-10_10-05-54.mp4
2026-03-10_10-05-55,"(275, 120, 165, 156)",movimentos/mov_2026-03-10_10-05-55.png,videos/mov_2026-03-10_10-05-55.mp4
2026-03-10_10-05-58,"(273, 121, 167, 153)",movimentos/mov_2026-03-10_10-05-58.png,videos/mov_2026-03-10_10-05-58.mp4
2026-03-10_10-06-07,"(140, 113, 53, 156)",movimentos/mov_2026-03-10_10-06-07.png,videos/mov_2026-03-10_10-06-07.mp4
2026-03-10_10-06-07,"(270, 117, 171, 155)",movimentos/mov_2026-03-10_10-06-07.png,videos/mov_2026-03-10_10-06-07.mp4
2026-03-10_10-06-10,"(274, 129, 161, 145)",movimentos/mov_2026-03-10_10-06-10.png,videos/mov_2026-03-10_10-06-10.mp4
2026-03-10_10-06-12,"(60, 0, 122, 278)",movimentos/mov_2026-03-10_10-06-12.png,videos/mov_2026-03-10_10-06-12.mp4
2026-03-10_10-06-14,"(0, 0, 636, 480)",movimentos/mov_2026-03-10_10-06-14.png,videos/mov_2026-03-10_10-06-14.mp4
2026-03-10_10-06-17,"(179, 156, 175, 272)",movimentos/mov_2026-03-10_10-06-17.png,videos/mov_2026-03-10_10-06-17.mp4
2026-03-10_10-06-19,"(154, 294, 60, 131)",movimentos/mov_2026-03-10_10-06-19.png,videos/mov_2026-03-10_10-06-19.mp4
